epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0313,2.4388,5.48269,1.31604,0.01131,0.9375,0.01369,0.00427,2.31691,4.59869,1.12895,5.001e-05,5.001e-05,5.001e-05
2,17.6593,1.99521,5.04872,1.15882,0.01168,0.97917,0.01581,0.00713,1.84463,4.34026,0.99677,0.000105138,0.000105138,0.000105138
3,24.2228,2.13953,4.70565,1.20059,0.01171,1,0.01528,0.0066,1.77543,4.29102,0.99818,0.000147063,0.000147063,0.000147063
4,30.8134,1.90075,3.86531,1.08871,0.01212,1,0.04099,0.01002,1.66277,4.29811,1.00429,0.000175785,0.000175785,0.000175785
5,37.437,2.04048,3.41197,1.2911,0.01295,1,0.02165,0.00892,1.70787,4.26366,1.01922,0.000191305,0.000191305,0.000191305
6,44.0184,2.03488,2.69129,1.36306,0.01309,1,0.04768,0.01198,1.72311,4.23902,1.0108,0.000193622,0.000193622,0.000193622
7,50.6767,2.01574,2.59516,1.22602,0.01386,1,0.04288,0.01232,1.7175,4.17595,0.99675,0.000182737,0.000182737,0.000182737
8,57.2547,1.87026,2.56886,1.18654,0.01388,1,0.04284,0.01281,1.70973,4.18,0.98988,0.000158648,0.000158648,0.000158648
9,63.889,1.77117,2.30393,1.1449,0.01378,1,0.04233,0.01293,1.70504,4.15248,0.98915,0.000121358,0.000121358,0.000121358
10,70.4704,2.02744,2.83051,1.16066,0.01346,1,0.04162,0.01027,1.68923,4.10015,0.98907,7.08642e-05,7.08642e-05,7.08642e-05
