epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3318,2.63515,6.83071,1.35456,0.77905,0.72917,0.67778,0.18761,2.58827,3.36843,1.15272,5.001e-05,5.001e-05,5.001e-05
2,77.6786,2.0216,3.28973,1.16629,0.93315,0.91667,0.91687,0.39736,1.84766,1.84158,1.12153,0.000105138,0.000105138,0.000105138
3,112.966,2.00539,2.53232,1.20881,0.1858,0.9375,0.18334,0.07364,1.90106,10.6456,1.14124,0.000147063,0.000147063,0.000147063
4,148.213,2.01753,1.86187,1.14594,0.92743,0.77083,0.84397,0.34682,2.01055,3.84023,1.2225,0.000175785,0.000175785,0.000175785
5,183.256,2.06774,1.77011,1.44741,0.17721,0.95124,0.1756,0.08589,1.76108,11.672,1.13913,0.000191305,0.000191305,0.000191305
6,218.123,1.96684,1.75744,1.34679,0.17046,0.92901,0.17372,0.07871,1.84062,21.2996,1.17459,0.000193622,0.000193622,0.000193622
7,253.227,1.89389,1.6185,1.20632,0.20478,0.91667,0.19879,0.10064,1.65316,8.16641,1.1124,0.000182737,0.000182737,0.000182737
8,288.256,1.86005,1.44769,1.21941,0.2762,0.91667,0.27003,0.13652,1.70616,4.55575,1.12754,0.000158648,0.000158648,0.000158648
9,323.269,1.72942,1.25368,1.16311,0.29642,0.95833,0.28992,0.14706,1.67577,3.01469,1.11263,0.000121358,0.000121358,0.000121358
10,358.1,1.87712,1.3282,1.17293,0.9225,0.875,0.94417,0.49251,1.62351,1.4317,1.09694,7.08642e-05,7.08642e-05,7.08642e-05
